sample_index,label,dominant_freq_raw,dominant_freq_normalized
0,cone_jet,268.55468749999994,2.6855468749999996
1,cone_jet,268.55468749999994,2.6855468749999996
2,cone_jet,268.55468749999994,2.6855468749999996
3,cone_jet,268.55468749999994,2.6855468749999996
4,cone_jet,268.55468749999994,2.6855468749999996
5,cone_jet,268.55468749999994,2.6855468749999996
6,cone_jet,268.55468749999994,2.6855468749999996
7,cone_jet,268.55468749999994,2.6855468749999996
8,cone_jet,268.55468749999994,2.6855468749999996
9,cone_jet,268.55468749999994,2.6855468749999996
10,cone_jet,268.55468749999994,2.6855468749999996
11,cone_jet,268.55468749999994,2.6855468749999996
12,cone_jet,268.55468749999994,2.6855468749999996
13,cone_jet,268.55468749999994,2.6855468749999996
14,cone_jet,268.55468749999994,2.6855468749999996
15,cone_jet,268.55468749999994,2.6855468749999996
16,cone_jet,268.55468749999994,2.6855468749999996
17,cone_jet,268.55468749999994,2.6855468749999996
18,cone_jet,268.55468749999994,2.6855468749999996
19,cone_jet,268.55468749999994,2.6855468749999996
20,cone_jet,268.55468749999994,2.6855468749999996
21,cone_jet,268.55468749999994,2.6855468749999996
22,cone_jet,268.55468749999994,2.6855468749999996
23,cone_jet,268.55468749999994,2.6855468749999996
24,cone_jet,268.55468749999994,2.6855468749999996
25,cone_jet,268.55468749999994,2.6855468749999996
26,cone_jet,268.55468749999994,2.6855468749999996
27,cone_jet,268.55468749999994,2.6855468749999996
28,cone_jet,268.55468749999994,2.6855468749999996
29,cone_jet,268.55468749999994,2.6855468749999996
30,cone_jet,268.55468749999994,2.6855468749999996
31,cone_jet,268.55468749999994,2.6855468749999996
32,cone_jet,268.55468749999994,2.6855468749999996
33,cone_jet,244.14062499999997,2.4414062499999996
34,cone_jet,268.55468749999994,2.6855468749999996
35,cone_jet,268.55468749999994,2.6855468749999996
36,cone_jet,268.55468749999994,2.6855468749999996
37,cone_jet,268.55468749999994,2.6855468749999996
38,cone_jet,268.55468749999994,2.6855468749999996
39,cone_jet,268.55468749999994,2.6855468749999996
40,cone_jet,268.55468749999994,2.6855468749999996
41,cone_jet,268.55468749999994,2.6855468749999996
42,cone_jet,268.55468749999994,2.6855468749999996
43,cone_jet,268.55468749999994,2.6855468749999996
44,cone_jet,268.55468749999994,2.6855468749999996
45,cone_jet,268.55468749999994,2.6855468749999996
46,cone_jet,268.55468749999994,2.6855468749999996
47,cone_jet,268.55468749999994,2.6855468749999996
48,cone_jet,268.55468749999994,2.6855468749999996
49,cone_jet,268.55468749999994,2.6855468749999996
50,cone_jet,268.55468749999994,2.6855468749999996
51,cone_jet,268.55468749999994,2.6855468749999996
52,cone_jet,244.14062499999997,2.4414062499999996
53,cone_jet,268.55468749999994,2.6855468749999996
54,cone_jet,268.55468749999994,2.6855468749999996
55,cone_jet,268.55468749999994,2.6855468749999996
56,cone_jet,268.55468749999994,2.6855468749999996
57,cone_jet,268.55468749999994,2.6855468749999996
58,cone_jet,268.55468749999994,2.6855468749999996
59,cone_jet,268.55468749999994,2.6855468749999996
60,cone_jet,268.55468749999994,2.6855468749999996
61,cone_jet,268.55468749999994,2.6855468749999996
62,cone_jet,268.55468749999994,2.6855468749999996
63,cone_jet,268.55468749999994,2.6855468749999996
64,cone_jet,268.55468749999994,2.6855468749999996
65,cone_jet,268.55468749999994,2.6855468749999996
66,cone_jet,268.55468749999994,2.6855468749999996
67,cone_jet,268.55468749999994,2.6855468749999996
68,cone_jet,268.55468749999994,2.6855468749999996
69,cone_jet,244.14062499999997,2.4414062499999996
70,cone_jet,268.55468749999994,2.6855468749999996
71,cone_jet,268.55468749999994,2.6855468749999996
72,cone_jet,268.55468749999994,2.6855468749999996
73,cone_jet,268.55468749999994,2.6855468749999996
74,cone_jet,268.55468749999994,2.6855468749999996
75,cone_jet,268.55468749999994,2.6855468749999996
76,cone_jet,268.55468749999994,2.6855468749999996
77,cone_jet,268.55468749999994,2.6855468749999996
78,cone_jet,268.55468749999994,2.6855468749999996
