,flow_rate,voltage,image_classification,ml_classification,nn_classification,generalist_ml_classification
84,15.0,7400.58,multi_jet (90%),undefined,intermitent,undefined
85,15.0,7600.38,multi_jet (100%),undefined,intermitent,undefined
86,15.0,7800.53,multi_jet (100%),dripping,intermitent,undefined
87,15.0,8000.38,multi_jet (100%),dripping,undefined,undefined
88,15.0,8200.6,multi_jet (100%),intermitent,intermitent,intermitent
89,15.0,8400.44,multi_jet (100%),intermitent,intermitent,intermitent
90,15.0,8600.57,multi_jet (100%),intermitent,intermitent,intermitent
91,15.0,8800.39,multi_jet (100%),intermitent,intermitent,undefined
92,15.0,9000.25,multi_jet (100%),intermitent,intermitent,corona
93,6.0,3000.45,multi_jet (100%),intermitent,dripping,intermitent
94,6.0,3200.32,dripping (84%),intermitent,dripping,intermitent
95,6.0,3400.47,dripping (54%),intermitent,intermitent,intermitent
96,6.0,3600.45,dripping (98%),intermitent,dripping,intermitent
97,6.0,3800.61,dripping (97%),cone_jet,intermitent,undefined
98,6.0,4000.44,dripping (99%),undefined,intermitent,undefined
99,6.0,4200.59,dripping (97%),intermitent,intermitent,intermitent
100,6.0,4400.46,dripping (83%),undefined,intermitent,undefined
101,6.0,4600.64,dripping (97%),intermitent,intermitent,intermitent
102,6.0,4800.52,dripping (45%),cone_jet,intermitent,undefined
103,6.0,5000.68,intermitent (95%),cone_jet,intermitent,undefined
104,6.0,5200.47,intermitent (97%),cone_jet,intermitent,undefined
105,6.0,5400.6,dripping (87%),cone_jet,intermitent,undefined
106,6.0,5600.44,intermitent (98%),undefined,intermitent,undefined
107,6.0,5800.66,intermitent (99%),undefined,intermitent,undefined
108,6.0,6000.49,cone_jet (75%),undefined,intermitent,undefined
109,6.0,6200.66,cone_jet (99%),undefined,intermitent,undefined
110,6.0,6400.39,multi_jet (92%),multi_jet,multi_jet,cone_jet
111,6.0,6600.52,cone_jet (62%),undefined,intermitent,undefined
112,6.0,6800.34,cone_jet (96%),undefined,intermitent,undefined
113,6.0,7000.55,cone_jet (86%),undefined,intermitent,undefined
114,6.0,7200.4,multi_jet (93%),undefined,intermitent,undefined
115,6.0,7400.57,multi_jet (96%),multi_jet,intermitent,undefined
116,6.0,7600.4,multi_jet (100%),undefined,intermitent,undefined
117,6.0,7800.53,multi_jet (100%),undefined,intermitent,undefined
118,6.0,8000.38,multi_jet (100%),undefined,intermitent,undefined
119,6.0,8200.59,multi_jet (100%),undefined,intermitent,undefined
120,6.0,8400.43,multi_jet (100%),undefined,intermitent,undefined
121,6.0,8600.55,multi_jet (100%),undefined,intermitent,undefined
122,6.0,8800.38,multi_jet (100%),undefined,intermitent,undefined
123,6.0,9000.27,multi_jet (100%),undefined,intermitent,undefined
124,7.0,3000.6,multi_jet (61%),intermitent,dripping,intermitent
125,7.0,3200.38,dripping (72%),intermitent,intermitent,intermitent
126,7.0,3400.49,dripping (100%),intermitent,dripping,intermitent
127,7.0,3600.47,dripping (98%),cone_jet,intermitent,undefined
128,7.0,3800.63,dripping (100%),intermitent,intermitent,intermitent
129,7.0,4000.49,dripping (97%),cone_jet,intermitent,undefined
130,7.0,4200.63,dripping (95%),intermitent,intermitent,intermitent
131,7.0,4400.49,dripping (91%),undefined,intermitent,undefined
132,7.0,4600.67,dripping (94%),undefined,intermitent,undefined
133,7.0,4800.53,intermitent (96%),intermitent,intermitent,intermitent
134,7.0,5000.71,dripping (95%),cone_jet,intermitent,undefined
135,7.0,5200.48,intermitent (93%),intermitent,intermitent,intermitent
136,7.0,5400.64,intermitent (93%),intermitent,intermitent,intermitent
137,7.0,5600.49,dripping (68%),undefined,intermitent,undefined
138,7.0,5800.67,intermitent (87%),intermitent,intermitent,intermitent
139,7.0,6000.5,intermitent (99%),undefined,intermitent,undefined
140,7.0,6200.67,cone_jet (87%),undefined,intermitent,undefined
141,7.0,6400.41,multi_jet (53%),undefined,intermitent,undefined
142,7.0,6600.49,cone_jet (97%),undefined,intermitent,undefined
143,7.0,6800.36,multi_jet (71%),undefined,intermitent,undefined
144,7.0,7000.56,cone_jet (94%),multi_jet,intermitent,undefined
145,7.0,7200.42,multi_jet (95%),undefined,intermitent,undefined
146,7.0,7400.59,multi_jet (98%),multi_jet,intermitent,undefined
147,7.0,7600.38,multi_jet (100%),undefined,intermitent,undefined
148,7.0,7800.52,multi_jet (100%),undefined,intermitent,undefined
149,7.0,8000.39,multi_jet (100%),undefined,intermitent,undefined
150,7.0,8200.63,multi_jet (100%),undefined,intermitent,undefined
151,7.0,8400.44,multi_jet (100%),undefined,intermitent,undefined
152,7.0,8600.58,multi_jet (100%),undefined,intermitent,undefined
153,7.0,8800.37,multi_jet (100%),undefined,intermitent,undefined
154,7.0,9000.26,multi_jet (100%),undefined,intermitent,undefined
155,8.0,3000.59,dripping (79%),intermitent,intermitent,intermitent
156,8.0,3200.35,dripping (95%),intermitent,intermitent,intermitent
157,8.0,3400.63,dripping (100%),undefined,intermitent,undefined
158,8.0,3600.49,dripping (96%),cone_jet,intermitent,undefined
159,8.0,3800.64,dripping (100%),undefined,intermitent,undefined
160,8.0,4000.36,dripping (98%),cone_jet,intermitent,undefined
161,8.0,4200.61,dripping (73%),cone_jet,intermitent,undefined
162,8.0,4400.47,dripping (93%),intermitent,intermitent,intermitent
